fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,label
415,25.2,27,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987242162323628,0.48566380418273003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729922310964362,0.0,0.9642857142857143,1.0,0.5555555555555555,0.4285714285714288,0.38888888888888884,0.5,0.957325746799431,1.0,1.0000000000000002,0.26548672566371684,0.7110694183864915,2
416,26.0,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992147093889427,0.02989434692850188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7678571428571427,0.6637554585152837,0.7435897435897436,0.4285714285714288,0.38888888888888884,0.5,0.7041251778093883,0.4766666666666667,0.6618546174130617,0.21238938053097345,0.6716697936210131,2
412,25.857142857142897,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987242162323628,0.48566380418273003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6857142857142858,0.7598253275109169,0.35897435897435886,0.4285714285714288,0.38888888888888884,0.5,0.8506401137980085,0.7166666666666668,0.7502089258428114,0.6415929203539823,0.7298311444652908,3
444,20.0151515151515,28,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36785714285714277,0.4978165938864628,0.11111111111111097,0.40000000000000036,0.3333333333333335,0.5,0.6699857752489332,0.39666666666666667,0.5645901725789225,0.6106194690265486,0.6716697936210131,3
445,20.7045454545455,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.525,0.6026200873362445,0.28205128205128194,0.37142857142857144,0.3333333333333335,0.4444444444444442,0.7624466571834994,0.5133333333333334,0.6448219578565535,0.6371681415929203,0.7279549718574109,3
414,31.3076923076923,35,27,0.02002293853393562,0.13490248590379236,0.01788425736888189,0.004143253492630733,0.0959093769767593,0.0,0.005097641227269201,0.0007947976505732905,0.0,0.018477896823318234,0.8495569647017351,0.0,0.0,0.0038978485422257163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03091078440500571,0.0,0.0,0.0,0.0,0.0,0.0,0.9139337307480273,0.0860662692519734,0.26428571428571435,0.27510917030567683,0.299145299145299,0.4285714285714288,0.38888888888888884,0.5,0.19061166429587484,0.09000000000000001,0.10913773773862372,0.48230088495575224,0.21200750469043153,1
443,28.076923076923105,32,25,0.0,0.23525097176138982,0.03029932382270673,0.0,0.0,0.0,0.09633314899554946,0.0,0.0,0.0,0.7498959883487709,0.0,0.0,0.010415561541444416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943075754280458,0.0056924245719536795,0.2321428571428571,0.262008733624454,0.24786324786324773,0.40000000000000036,0.3333333333333335,0.5,0.4395448079658606,0.10333333333333335,0.2813070843842048,0.5,0.5328330206378987,1
413,26.888888888888893,29,26,0.0,0.0,0.0,0.0,0.08144161055282718,0.0,0.0,0.0,0.0,0.0,0.9958899894061329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986046452876522,0.013953547123477399,0.4464285714285715,0.4279475982532751,0.4358974358974358,0.4571428571428573,0.38888888888888884,0.5555555555555554,0.5320056899004267,0.2833333333333333,0.38409977452144495,0.5663716814159292,0.5534709193245778,3
411,32.0666666666667,36,28,0.05439356021189835,0.12589203462315132,0.0933383222247317,0.025105930981408033,0.0,0.014989919622882163,0.09011109302936017,0.01574529690553728,0.051410689473157245,0.03891840266091705,0.792813076038088,0.0,0.0,0.016347913707840982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02884618110980535,0.0,0.0,0.0,0.0,0.0,0.0,0.391452895708184,0.608547104291816,0.15714285714285714,0.20960698689956325,0.1709401709401708,0.4285714285714288,0.38888888888888884,0.5,0.05120910384068279,0.07666666666666667,0.052093405920305695,0.3584070796460177,0.03564727954971857,0
396,25.5555555555556,27,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012387929881678742,0.0,0.0,0.999937980472274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6535714285714286,0.6637554585152837,0.47008547008547,0.40000000000000036,0.3333333333333335,0.5,0.7098150782361309,0.6066666666666667,0.6765534964164129,0.7079646017699115,0.6060037523452158,3
